cost,displays,clicks,post_click_conversions,post_click_sales_amount,revenue
1.0643,1944,8,0,0.0,0.4364
0.0116,111,0,0,0.0,0.0
0.0024,3,0,0,0.0,0.0
0.002,1,0,0,0.0,0.0
20.8053,14526,95,55,3162.6248,18.0
0.02,11,0,0,0.0,0.0
0.0143,36,0,0,0.0,0.0
4.7214,85050,283,1,36.3581,15.4494
24.9277,19919,134,46,2969.9616,25.0
4.7217,19867,34,0,0.0,1.8184
6.8336,12031,85,33,1166.6813,9.0
0.1168,206,0,0,0.0,0.0
0.1295,633,2,0,0.0,0.1084
0.0687,140,1,0,0.0,0.0538
2.1452,4656,58,2,9.7399,2.2182
0.5022,13317,15,0,0.0,0.808
45.1723,169775,1945,37,1968.2383,78.4011
1.5896,14887,68,0,0.0,3.6829
195.5395,150534,1440,734,35856.2831,265.0
0.5298,7185,27,0,0.0,1.1007
3.5651,7629,41,3,122.9539,2.2227
3.9015,3669,48,5,144.5778,8.6661
5.4987,3652,112,2,104.4042,4.3335
0.004,10,0,0,0.0,0.0
0.0012,12,0,0,0.0,0.0
5.1672,47112,310,1,70.6227,16.8149
0.0125,19,0,0,0.0,0.0
2.1829,3621,20,3,718.5606,1.0847
0.0191,28,2,1,51.2779,0.2206
6.4677,12689,95,11,1041.6214,10.3702
0.0136,17,0,0,0.0,0.0
0.0121,164,0,0,0.0,0.0
0.4421,1209,1,0,0.0,0.0542
237.8715,204266,1567,1075,53469.4113,297.0
0.0007,2,0,0,0.0,0.0
25.2605,30775,646,10,475.0316,26.0988
0.0297,67,0,0,0.0,0.0
0.4249,1497,11,0,0.0,1.2145
0.0006,1,0,0,0.0,0.0
0.0019,4,0,0,0.0,0.0
0.4171,701,10,1,38.129,0.5416
0.0166,17,0,0,0.0,0.0
23.8174,27662,736,82,3470.8747,131.3554
1.5812,14275,76,1,23.9127,3.0543
8.8901,17344,117,4,290.6702,22.0527
0.481,6527,18,0,0.0,0.721
0.0006,1,0,0,0.0,0.0
0.0817,598,3,3,614.5444,0.5712
