cost,displays,clicks,post_click_conversions,post_click_sales_amount,revenue
0.006,4,0,0,0.0,0.0
26.7824,20170,158,23,1972.4602,28.9717
27.6304,14701,158,78,2497.2636,28.9771
216.875,171259,1796,617,24625.3234,329.4518
0.067,552,1,0,0.0,0.1834
0.0249,16,0,0,0.0,0.0
0.4044,2234,10,3,101.7494,1.8347
1.8899,2963,4,4,100.5044,0.7338
0.9917,580,9,0,0.0,1.6512
11.1678,20152,185,13,653.1896,33.9397
50.5157,56499,309,105,4288.6699,56.6775
351.9167,392142,10237,2513,119601.4208,1877.8227
30.2386,62395,678,173,10402.0618,124.3631
432.5858,214074,2120,805,39654.6687,388.8174
0.0997,671,2,0,0.0,0.3669
0.904,1188,7,2,145.5734,1.2843
0.1743,380,1,1,211.5323,0.1834
0.4418,1789,3,0,0.0,0.5504
2.3886,6595,30,3,14.6254,5.5042
22.1996,25765,696,82,5851.2447,127.6715
2.2328,4595,45,5,392.7653,8.2563
16.6353,18518,158,28,1735.5801,28.9859
0.0225,11,0,0,0.0,0.0
54.8999,52381,286,99,4844.9065,52.4647
42.1673,62042,1164,364,20272.775,213.5207
5.495,10001,82,27,1304.4818,15.0419
336.111,277579,2042,754,45839.9536,374.5268
0.1226,448,2,0,0.0,0.3669
0.0661,112,1,0,0.0,0.1834
0.017,28,0,0,0.0,0.0
0.7599,3841,15,7,1864.6591,2.7521
3.8013,5932,30,6,573.1474,5.4954
1.8454,2983,82,1,29.2134,15.039
0.3841,678,4,1,14.1537,0.7338
17.3368,30998,184,12,1323.659,33.7474
0.7543,1182,2,1,30.8236,0.3669
0.1835,467,0,0,0.0,0.0
0.0045,7,1,0,0.0,0.1834
2.5521,4177,7,0,0.0,1.2843
0.0015,7,1,0,0.0,0.1834
0.002,36,0,0,0.0,0.0
0.0102,68,0,0,0.0,0.0
0.0055,14,0,0,0.0,0.0
0.1096,502,0,0,0.0,0.0
132.7561,52004,1043,401,15561.6075,191.2989
0.1722,492,6,1,45.9209,1.1008
6.0088,4795,60,8,767.8439,11.0055
8.8886,5270,56,39,776.4618,10.2745
16.8185,20898,165,63,2214.2764,30.2614
0.308,434,3,0,0.0,0.5504
31.6511,20161,176,92,3989.2796,32.2884
0.0111,45,1,0,0.0,0.1834
0.0135,21,0,0,0.0,0.0
0.0015,3,0,0,0.0,0.0
0.0204,175,1,0,0.0,0.1834
0.3654,441,7,0,0.0,1.2843
0.9526,1233,9,2,183.3429,1.6512
0.058,84,0,0,0.0,0.0
1.3976,1978,13,0,0.0,2.3851
0.0284,20,0,0,0.0,0.0
74.7667,77942,410,121,6710.2429,75.1528
292.8014,221002,3384,1179,59726.9939,620.7497
13.5669,32546,254,93,5418.0655,46.5936
424.0715,428642,2961,1239,57545.6564,543.1365
0.1407,824,4,0,0.0,0.7338
0.4347,366,3,0,0.0,0.5504
0.06,149,0,0,0.0,0.0
1.099,5689,10,1,12.7891,1.8288
0.0015,1,0,0,0.0,0.0
3.8733,8165,34,1,72.0659,6.2381
13.1693,10611,179,32,1587.3458,32.833
1.1191,2741,31,2,85.7347,5.6876
23.4219,50040,309,31,2749.2091,56.665
0.0235,21,1,0,0.0,0.1834
0.0017,1,0,0,0.0,0.0
0.5595,6745,21,0,0.0,0.8256
0.1207,99,1,0,0.0,0.0393
5.9831,50107,367,3,66.5661,14.427
0.0085,7,0,0,0.0,0.0
5.1608,22075,321,4,269.4696,12.6178
3.7891,2469,58,3,236.7731,2.2803
45.9527,181282,3611,56,2923.7718,141.9534
1.4582,12670,51,0,0.0,2.0051
18.3079,23968,574,10,1003.2078,22.5666
1.6423,3706,48,0,0.0,1.8871
4.5533,39787,209,0,0.0,8.2163
13.582,64482,886,4,166.4344,34.825
184.0818,214846,10390,146,12485.0212,408.4178
13.0473,28666,755,18,916.0838,29.6727
61.6561,184116,2720,39,3724.3667,106.9128
0.0061,3,1,0,0.0,0.0393
1.497,8682,44,0,0.0,1.7286
2.6398,4354,86,2,141.2879,3.3786
0.072,128,0,0,0.0,0.0
9.1632,92429,498,1,12.9709,19.5742
0.017,11,0,0,0.0,0.0
14.1625,35227,401,14,839.2774,15.7612
20.8269,33570,1426,38,2771.717,56.0374
1.318,2324,19,0,0.0,0.747
73.5196,304259,3328,52,6350.6364,130.8237
0.0244,273,0,0,0.0,0.0
0.0027,7,0,0,0.0,0.0
0.0259,587,2,0,0.0,0.0786
0.2195,1324,9,0,0.0,0.3538
0.0625,159,0,0,0.0,0.0
0.0025,4,0,0,0.0,0.0
0.2878,3094,5,0,0.0,0.1965
2.4409,12604,245,0,0.0,9.6317
22.7809,46408,1766,18,1683.7638,69.4187
0.1107,552,3,0,0.0,0.1179
0.2683,371,5,0,0.0,0.1965
0.0253,36,0,0,0.0,0.0
0.2915,4624,24,0,0.0,0.9435
1.6338,3957,40,0,0.0,1.572
4.9835,6501,102,5,359.4609,4.0095
0.3253,449,13,0,0.0,0.5104
3.8768,19507,252,6,253.8565,9.9063
1.6025,12328,74,1,22.7769,2.9093
3.1095,2999,37,1,11.7896,1.454
0.5564,1380,13,0,0.0,0.5111
9.4151,108130,666,5,523.5354,26.178
0.0117,7,0,0,0.0,0.0
15.2085,59277,722,8,930.7221,28.3712
63.9296,55588,1515,53,3942.6278,59.5549
6.0226,13955,228,10,1160.8372,8.9633
79.3017,390929,5323,63,38386.9424,209.2502
0.0112,28,2,0,0.0,0.0786
0.5795,2366,4,0,0.0,0.2096
0.027,23,0,0,0.0,0.0
5.018,22167,50,1,532.0745,2.621
0.0093,7,0,0,0.0,0.0
0.6988,11834,21,0,0.0,1.1008
0.046,35,0,0,0.0,0.0
2.2941,41489,167,0,0.0,8.7543
0.0064,5,0,0,0.0,0.0
1.4853,17057,51,1,9.6979,2.6734
0.0723,54,1,0,0.0,0.0524
8.5739,82918,533,13,1195.3097,27.9399
1.5326,7325,13,1,128.4186,0.6814
7.402,9037,67,2,458.0165,3.5122
2.4892,5524,33,4,145.7912,1.729
8.8753,25346,62,9,446.8068,3.2475
0.7765,9414,17,0,0.0,0.8911
2.6574,3810,31,0,0.0,1.6242
0.1932,459,8,0,0.0,0.4193
0.6839,24730,34,0,0.0,1.7823
2.7446,26007,86,0,0.0,4.5065
13.865,17962,315,3,339.5186,16.5126
1.8812,4265,61,0,0.0,3.1976
4.4489,59998,180,2,201.9655,9.4358
1.7042,4967,19,0,0.0,0.996
0.7603,1273,13,0,0.0,0.6814
0.1758,293,1,0,0.0,0.0524
8.1757,30737,94,7,768.5861,4.9267
0.0025,1,0,0,0.0,0.0
0.9557,12292,63,0,0.0,3.3016
0.4489,831,9,0,0.0,0.4717
0.0011,3,0,0,0.0,0.0
2.7654,66100,118,7,463.3167,6.184
0.008,4,1,0,0.0,0.0524
2.9495,21214,126,1,3.9307,6.6036
1.5827,2866,69,0,0.0,3.6153
0.0227,44,1,0,0.0,0.0524
9.17,116957,418,3,216.6186,21.9095
0.0177,111,0,0,0.0,0.0
0.0003,1,0,0,0.0,0.0
0.0217,330,0,0,0.0,0.0
0.0141,210,0,0,0.0,0.0
0.0015,4,0,0,0.0,0.0
0.0036,363,0,0,0.0,0.0
0.0278,421,3,0,0.0,0.1572
0.0027,7,0,0,0.0,0.0
0.0148,893,1,0,0.0,0.0524
3.1057,7540,32,0,0.0,1.6769
0.752,10045,73,0,0.0,3.8267
3.0873,23157,248,1,66.9636,12.9996
0.1478,485,0,0,0.0,0.0
0.0928,115,1,0,0.0,0.0524
0.0178,28,0,0,0.0,0.0
0.3535,1978,2,0,0.0,0.1048
0.0392,368,3,0,0.0,0.1572
0.0411,44,0,0,0.0,0.0
0.0026,5,0,0,0.0,0.0
0.0522,2852,8,0,0.0,0.4193
0.3211,2313,8,0,0.0,0.4193
0.1441,146,1,0,0.0,0.0524
0.0445,78,2,0,0.0,0.1048
0.2922,7479,5,0,0.0,0.2612
1.6849,7601,23,1,185.3349,1.2056
1.4142,1274,7,0,0.0,0.3669
0.7769,1960,8,0,0.0,0.4193
7.8852,37014,105,9,462.9524,5.5033
0.0021,2,0,0,0.0,0.0
1.1348,12477,63,0,0.0,3.2986
0.5864,550,4,0,0.0,0.2096
0.0445,150,0,0,0.0,0.0
3.836,91468,316,2,561.1487,16.5625
0.003,2,0,0,0.0,0.0
3.4209,29216,146,1,8.6485,7.6526
1.6859,1737,17,0,0.0,0.8911
0.617,1852,9,0,0.0,0.4717
12.3332,174462,707,1,136.5586,37.055
0.0001,2,0,0,0.0,0.0
0.0,1,0,0,0.0,0.0
0.005,2,0,0,0.0,0.0
19.7963,17332,140,26,1921.272,25.2734
